mc Dis0: 3.98m Dis1: 9.64m Dis2: 9.01m Dis3: 0.00m
mc Dis0: 3.99m Dis1: 9.61m Dis2: 9.02m Dis3: 0.00m
mc Dis0: 3.97m Dis1: 9.66m Dis2: 9.02m Dis3: 0.00m
mc Dis0: 3.97m Dis1: 10.18m Dis2: 9.05m Dis3: 0.00m
mc Dis0: 4.00m Dis1: 9.62m Dis2: 9.04m Dis3: 0.00m
mc Dis0: 3.99m Dis1: 10.18m Dis2: 9.02m Dis3: 0.00m
mc Dis0: 3.99m Dis1: 9.68m Dis2: 9.03m Dis3: 0.00m
mc Dis0: 3.99m Dis1: 9.89m Dis2: 8.99m Dis3: 0.00m
mc Dis0: 3.95m Dis1: 10.06m Dis2: 9.01m Dis3: 0.00m
mc Dis0: 4.00m Dis1: 10.05m Dis2: 9.03m Dis3: 0.00m
mc Dis0: 3.98m Dis1: 9.65m Dis2: 9.02m Dis3: 0.00m
mc Dis0: 3.94m Dis1: 9.70m Dis2: 9.05m Dis3: 0.00m
mc Dis0: 3.98m Dis1: 9.66m Dis2: 9.04m Dis3: 0.00m
mc Dis0: 3.99m Dis1: 9.65m Dis2: 9.03m Dis3: 0.00m
mc Dis0: 3.93m Dis1: 10.10m Dis2: 9.04m Dis3: 0.00m
mc Dis0: 3.94m Dis1: 10.06m Dis2: 9.02m Dis3: 0.00m
mc Dis0: 3.96m Dis1: 9.67m Dis2: 9.01m Dis3: 0.00m
mc Dis0: 3.93m Dis1: 9.61m Dis2: 8.99m Dis3: 0.00m
